Timestamp,Decision,College,Major,GPA,Hours,Residency,CAP
5/28/20 17:20,Admitted,COLA,Psychology,3.43,40,In state,Yes
5/28/20 17:20,Admitted,COLA,History,3.9,31,In state,Yes
5/28/20 17:20,Admitted,COLA,Human Dimensions Of Organizations,4,30,In state,Yes
5/28/20 17:20,Admitted,COLA,Psychology,3.5,50,In state,Yes
5/28/20 17:24,Admitted,COLA,Psychology,3.7,60,In state,Yes
5/28/20 17:25,Admitted,COLA,Sociology,4,31,In state,Yes
5/28/20 17:57,Admitted,COLA,Government,3.86,30,In state,Yes
5/28/20 18:13,Admitted,COLA,Government,3.9,30,In state,Yes
5/28/20 18:21,Admitted,COLA,Psychology,3.6,30,In state,Yes
5/28/20 18:31,Admitted,COLA,International Relations And Global Studies,3.8,30,In state,Yes
5/28/20 21:32,Admitted,COLA,International Relations And Global Studies,3.3,30,In state,Yes
5/28/20 21:34,Admitted,COLA,Psychology,3.875,32,In state,Yes
5/29/20 0:10,Admitted,COLA,Psychology,3.85,32,In state,Yes
5/29/20 1:08,Admitted,COLA,Psychology,4,60,In state,Yes
5/29/20 17:06,Admitted,Cockrell,Biomedical Engineering,4,54,International,No
6/4/20 10:22,Admitted,COLA,International Relations And Global Studies,3.75,31,In state,Yes
6/4/20 10:31,Admitted,COLA,Economics,3.6,30,In state,Yes
6/4/20 10:43,Admitted,COLA,Economics,3.733,60,In state,Yes
6/4/20 22:32,Admitted,COLA,Government,4,30,In state,Yes
6/4/20 22:47,Admitted,COLA,Psychology,3.78,33,In state,Yes
6/5/20 8:38,Admitted,COLA,Economics,4,32,In state,Yes
6/5/20 8:55,Admitted,COLA,Psychology,3.8,34,In state,Yes
6/5/20 14:56,Admitted,COFA,Studio Art,3.923,39,In state,No
6/5/20 14:59,Admitted,COFA,Design,3.89,58,In state,No
6/5/20 15:33,Admitted,COFA,Visual Arts Studies,3.9,45,In state,No
6/5/20 15:35,Admitted,COFA,Design,3.55,30,Out of state,No
6/6/20 8:58,Admitted,COLA,Psychology,3.8,34,In state,Yes
6/6/20 14:05,Admitted,COFA,Art History,3.8,61,International,No
6/6/20 16:07,Admitted,Education,Applied Movement Science,4,32,In state,Yes
6/6/20 16:20,Admitted,Education,Physical Culture And Sport,4,48,In state,Yes
6/6/20 16:49,Admitted,COFA,Design,3.3,80,In state,No
6/6/20 17:00,Admitted,Education,Applied Learning And Development,4,32,In state,Yes
6/6/20 18:05,Admitted,Education,Exercise Science,3.87,32,In state,Yes
6/6/20 19:02,Admitted,Education,Exercise Science,4,48,In state,Yes
6/6/20 20:26,Admitted,COLA,Psychology,3.96,30,In state,Yes
6/6/20 21:25,Admitted,CNS,Human Development And Family Sciences,3.87,62,In state,Yes
6/6/20 21:26,Admitted,CNS,Biochemistry,3.75,46,In state,Yes
6/6/20 21:41,Admitted,Moody,Communication Sciences And Disorders,3.88,32,In state,Yes
6/6/20 21:53,Admitted,Moody,Public Relations,3.7,30,In state,Yes
6/6/20 21:58,Admitted,Moody,Advertising,4,44,In state,Yes
6/6/20 22:14,Admitted,CNS,Public Health,3.9,62,In state,Yes
6/6/20 22:35,Admitted,CNS,Biology,3.7,40,In state,Yes
6/6/20 22:48,Admitted,Education,Pre-Athletic Training,3.7,37,In state,Yes
6/7/20 0:30,Admitted,Moody,Political Communication,3.76,30,In state,Yes
6/7/20 0:48,Admitted,CNS,Biology,3.87,30,In state,Yes
6/7/20 16:42,Admitted,Moody,Advertising,4,32,In state,Yes
6/7/20 21:21,Admitted,CNS,Public Health,4,31,In state,Yes
6/8/20 18:21,Admitted,Social Work,Social Work,3.75,36,In state,Yes
6/8/20 18:21,Admitted,CNS,Biochemistry,3.97,60,In state,No
6/8/20 18:24,Admitted,CNS,Biology,3.8,50,In state,No
6/8/20 18:25,Admitted,COLA,Psychology,4,31,In state,Yes
6/8/20 18:27,Admitted,Moody,Radio-Television-Film,3.9,35,In state,Yes
6/8/20 18:28,Admitted,Moody,Radio-Television-Film,4,45,In state,No
6/8/20 18:33,Admitted,Moody,Advertising,4,50,In state,No
6/8/20 18:33,Admitted,Education,Exercise Science,3.67,43,In state,No
6/8/20 18:33,Admitted,Moody,Radio-Television-Film,3.89,72,In state,No
6/8/20 18:34,Admitted,Moody,Advertising,4,35,In state,No
6/8/20 18:42,Admitted,Moody,Radio-Television-Film,4,36,In state,No
6/8/20 18:43,Admitted,Moody,Public Relations,4,60,In state,No
6/8/20 18:46,Admitted,Moody,Radio-Television-Film,4,45,In state,No
6/8/20 18:46,Admitted,CNS,Computer Science,4,62,In state,No
6/8/20 18:47,Admitted,CNS,Neuroscience,3.96,60,In state,No
6/8/20 18:48,Admitted,Education,Youth And Community Studies,3.86,73,In state,No
6/8/20 18:53,Admitted,CNS,Human Development And Family Sciences,4,33,In state,No
6/8/20 19:07,Admitted,COLA,International Relations And Global Studies,4,32,In state,Yes
6/8/20 19:07,Admitted,COLA,Psychology,3.7,32,In state,Yes
6/8/20 19:18,Admitted,Moody,Speech Language/Pathology,4,42,In state,No
6/8/20 19:18,Admitted,Social Work,Social Work,3.44,32,In state,No
6/8/20 19:44,Admitted,COLA,Government,4,33,In state,Yes
6/8/20 19:52,Admitted,Moody,Advertising,4,35,In state,No
6/8/20 20:00,Admitted,Moody,Political Communication,3.88,52,In state,No
6/8/20 20:01,Admitted,Moody,Advertising,3.88,64,In state,No
6/8/20 20:04,Admitted,Moody,Journalism,4,54,In state,No
6/8/20 20:10,Admitted,Education,Early Childhood Education,3.9,31,In state,No
6/8/20 20:32,Admitted,Moody,Radio-Television-Film,3.92,48,In state,No
6/8/20 20:49,Admitted,Education,Applied Learning And Development,3.65,40,In state,No
6/8/20 20:54,Admitted,Education,Applied Learning And Development,3.95,61,In state,No
6/8/20 21:36,Admitted,CNS,Mathematics,4,15,In state,No
6/8/20 21:37,Admitted,CNS,Mathematics,3.8,56,In state,No
6/8/20 21:52,Admitted,CNS,Nutrition,3.93,61,In state,No
6/8/20 22:00,Admitted,CNS,Computer Science,4,63,In state,No
6/8/20 22:15,Admitted,COLA,Asian Studies,3.8,62,In state,No
6/8/20 22:36,Admitted,Cockrell,Aerospace Engineering,4,40,In state,No
6/8/20 22:41,Admitted,CNS,Biology,3.57,65,In state,No
6/8/20 22:43,Admitted,COLA,Undeclared,3.9,30,In state,Yes
6/8/20 22:57,Admitted,Cockrell,Aerospace Engineering,3.92,60,International,No
6/8/20 23:04,Admitted,COLA,International Relations And Global Studies,4,32,In state,Yes
6/8/20 23:06,Admitted,COLA,Philosophy,4,50,In state,Yes
6/8/20 23:08,Admitted,CNS,Neuroscience,3.75,71,In state,No
6/8/20 23:11,Admitted,COLA,Health And Society,3.51,103,In state,Yes
6/8/20 23:45,Admitted,Moody,Communication And Leadership,4,36,In state,No
6/9/20 0:16,Admitted,Cockrell,Electrical Engineering,4,57,In state,No
6/9/20 0:21,Admitted,Moody,Advertising,4,44,In state,Yes
6/9/20 0:23,Admitted,COLA,Psychology,4,32,In state,Yes
6/9/20 0:30,Admitted,Cockrell,Computational Engineering,4,44,In state,No
6/9/20 0:56,Admitted,Moody,Public Relations,4,34,In state,No
6/9/20 0:57,Admitted,Cockrell,Environmental Engineering,3.77,72,In state,No
6/9/20 0:59,Admitted,CNS,Biology,3.75,33,In state,No
6/9/20 1:04,Admitted,Cockrell,Mechanical Engineering,4,41,In state,No
6/9/20 1:10,Admitted,CNS,Biology,4,36,In state,No
6/9/20 1:17,Admitted,Moody,Journalism,3.9,32,In state,Yes
6/9/20 1:39,Admitted,Moody,Advertising,4,50,In state,No
6/9/20 2:08,Admitted,CNS,Biochemistry,3.73,70,In state,No
6/9/20 2:47,Admitted,Education,Applied Movement Science,3.8,30,In state,No
6/9/20 4:57,Admitted,Moody,Public Relations,4,30,In state,No
6/9/20 9:13,Admitted,CNS,Computer Science,4,54,In state,No
6/9/20 9:16,Admitted,COFA,Theatre Studies,3.6,15,In state,No
6/9/20 9:28,Admitted,Cockrell,Mechanical Engineering,4,51,In state,No
6/9/20 10:16,Admitted,Moody,Advertising,4,35,In state,No
6/9/20 10:21,Admitted,Moody,Advertising,4,50,In state,No
6/9/20 11:10,Admitted,Moody,Public Relations,4,34,In state,No
6/9/20 11:12,Admitted,COLA,Government,4,33,In state,Yes
6/9/20 12:35,Admitted,COLA,Psychology,3.91,32,In state,Yes
6/9/20 13:52,Admitted,COFA,Art History,3.2,72,Out of state,No
6/9/20 15:52,Admitted,COLA,Psychology,3.94,66,In state,Yes
6/9/20 15:59,Admitted,Cockrell,Mechanical Engineering,4,68,In state,No
6/9/20 16:02,Admitted,COLA,Psychology,3.8,30,In state,Yes
6/9/20 16:46,Admitted,COLA,International Relations And Global Studies,3.4,30,In state,Yes
6/9/20 17:46,Admitted,CNS,Computer Science,3.8,57,In state,No
6/9/20 23:25,Admitted,Cockrell,Electrical Engineering,4,32,In state,No
6/9/20 23:44,Admitted,CNS,Computer Science,4,60,In state,No
6/10/20 0:10,Admitted,Education,Education,3.9,32,In state,No
6/10/20 1:27,Admitted,COLA,Government,3.96,30,In state,Yes
6/10/20 1:44,Admitted,COLA,Sustainability Studies,3.6,63,In state,Yes
6/10/20 2:24,Admitted,CNS,Computer Science,4,60,In state,No
6/10/20 2:25,Admitted,COLA,Government,3.96,30,In state,Yes
6/10/20 10:50,Admitted,COLA,International Relations And Global Studies,3.6,80,In state,No
6/10/20 13:37,Admitted,COLA,Human Dimensions Of Organizations,3.8,30,In state,Yes
6/10/20 13:44,Admitted,Moody,Communication Sciences And Disorders,3.8,29,In state,No
6/10/20 14:47,Admitted,Moody,Advertising,3.94,51,In state,No
6/10/20 15:22,Admitted,COLA,Human Dimensions Of Organizations,3.8,30,In state,Yes
6/10/20 17:11,Admitted,Moody,Public Relations,3.7,60,In state,No
6/10/20 17:11,Admitted,Moody,Advertising,4,30,In state,No
