Timestamp,Decision,College,Major,GPA,Credit Hours (Please include the exact number),Residency,CAP
4/6/21 12:21,Admitted,McCombs,Unspecified Business,4,56,Out of State,No
4/15/21 22:45,Admitted,COFA,Music Composition,3.7,50,In State,No
5/11/21 21:22,Admitted,COLA,Economics,3.75,59,Out of State,No
5/11/21 21:26,Admitted,McCombs,Finance,4,95,Out of State,No
5/11/21 21:32,Admitted,CNS,Neuroscience,4,45,In State,No
5/12/21 1:35,Admitted,COFA,Music Composition,3.69,54,In State,No
5/12/21 17:49,Denied,CNS,Astronomy,3.55,16,In State,No
5/13/21 13:39,Admitted,Information,Informatics,3.86,70,In State,No
5/13/21 14:27,Admitted,McCombs,Finance,3.96,70,In State,No
5/24/21 15:28,Admitted,COLA,Health And Society,3.42,32,In State,No
5/24/21 15:29,Denied,COLA,Health And Society,3,37,In State,No
5/25/21 18:12,Admitted,CNS,Biology,3.95,63,In State,No
5/26/21 17:11,Admitted,McCombs,Unspecified Business,4,31,In State,Yes
5/27/21 20:39,Admitted,COLA,History,3.9,30,In State,Yes
5/27/21 20:40,Admitted,COLA,Psychology,3.9,33,In State,Yes
5/27/21 20:40,Admitted,COLA,Sociology,3.9,30,In State,Yes
5/27/21 20:40,Denied,McCombs,Unspecified Business,3.6,64,In State,No
5/27/21 20:41,Admitted,COLA,International Relations And Global Studies,4,60,In State,Yes
5/27/21 20:43,Admitted,COLA,Psychology,3.87,30,In State,Yes
5/27/21 20:45,Admitted,COLA,Psychology,3.8,81,International,No
5/27/21 20:47,Admitted,COLA,Government,3.8,31,In State,Yes
5/27/21 20:47,Denied,McCombs,Unspecified Business,4,65,International,No
5/27/21 20:59,Admitted,COLA,Psychology,4,45,In State,Yes
5/27/21 21:06,Admitted,COLA,Psychology,4,32,In State,Yes
5/27/21 21:11,Admitted,COLA,Psychology,3.8,43,In State,Yes
5/27/21 21:15,Admitted,COLA,International Relations And Global Studies,4,53,In State,Yes
5/27/21 21:19,Admitted,COLA,Psychology,3.375,44,In State,Yes
5/27/21 21:29,Admitted,COLA,Psychology,3.42,31,In State,Yes
5/27/21 21:32,Admitted,COLA,History,3.9,30,In State,Yes
5/27/21 21:32,Admitted,COLA,Government,3.76,30,In State,Yes
5/27/21 21:34,Admitted,COLA,Psychology,3.9,45,In State,Yes
5/27/21 21:36,Admitted,COLA,Government,3.52,43,In State,Yes
5/27/21 21:38,Admitted,COLA,Government,3.8,31,In State,Yes
5/27/21 21:38,Admitted,COLA,Government,4,60,In State,Yes
5/27/21 21:52,Admitted,COLA,Psychology,4,54,In State,Yes
5/27/21 22:04,Admitted,COLA,International Relations And Global Studies,4,30,In State,Yes
5/27/21 22:12,Admitted,COLA,Economics,3.3,32,In State,Yes
5/27/21 22:22,Admitted,COLA,History,3.9,30,In State,Yes
5/27/21 22:25,Admitted,COLA,International Relations And Global Studies,3.83,33,In State,Yes
5/27/21 22:45,Admitted,COLA,International Relations And Global Studies,4,32,In State,Yes
5/27/21 22:48,Admitted,COLA,Health And Society,4,31,In State,Yes
5/27/21 22:51,Admitted,COLA,International Relations And Global Studies,4,32,In State,Yes
